Bereich,Bezeichnung,Bezugsquelle,Preis,Breite Laserzuschnitt in mm 1,Breite Laserzuschnitt in mm 2,Bauteilgewicht in kg,Materialsärke in mm,Material,Anzahl der Abkantungen,Gesamtlänge aller Aussparungen in mm,Flaeche,Dichte
A,Winkel,Eigenfertigungsteil,5.93,728.0,105.3,2.195,4.0,S355MC,2,1501.2,76658.4,28.633522223265814
A,Platte,Kaufteil,3.22,161.3,71.4,0.581,8.0,S355MC,0,123.0,11516.820000000002,50.44795351494596
B,Strebe mi,Eigenfertigungsteil,3.19,354.7,129.0,0.86,3.0,S355MC,2,687.54,45756.299999999996,18.795226012592803
B,Deckel re un,Eigenfertigungsteil,2.92,173.9,122.5,0.427,4.0,S700MC,1,381.23,21302.75,20.044360469892386
B,Winkelblech mi,Eigenfertigungsteil,6.34,383.4,352.5,1.702,3.0,S700MC,4,39.878,135148.5,12.5935544974602
B,Ausgleichsscheibe,Eigenfertigungsteil,0.74,128.5,61.4,0.171,3.0,S700MC,0,0.0,7889.9,21.673278495291452
B,Füllplatte re,Eigenfertigungsteil,3.35,254.3,242.2,0.948,4.0,S355MC,1,639.66,61591.46,15.391744245062547
B,Steg vo re,Eigenfertigungsteil,4.91,297.1,234.4,1.523,6.0,S355MC,2,139.416,69640.24,21.869539794808286
B,Strebe re in,Eigenfertigungsteil,6.84,614.2,160.9,1.353,3.0,STRENX 700MC,1,851.3886,98824.78000000001,13.690898173514778
B,Deckel vo,Eigenfertigungsteil,6.21,387.6,336.7,2.08,3.0,STRENX 700MC,1,209.0,130504.92,15.93809643345247
B,Platte,Eigenfertigungsteil,3.3,128.0,81.0,0.716,15.0,S355MC,0,0.0,10368.0,69.05864197530863
B,Deckel,Eigenfertigungsteil,45.25,1428.5,646.7,9.872,3.0,S700MC,0,3600.0,923810.9500000001,10.686169069548265
B,Deckel li un,Eigenfertigungsteil,2.92,173.9,122.5,0.427,4.0,S700MC,1,381.23,21302.75,20.044360469892386
B,Steg vo li,Eigenfertigungsteil,4.91,297.1,234.4,1.523,6.0,S355MC,2,139.416,69640.24,21.869539794808286
B,Stehblech,Eigenfertigungsteil,3.0,242.2,123.0,0.57,4.0,S700MC,0,188.4,29790.6,19.13355219431633
B,Strebe li,Eigenfertigungsteil,6.18,524.1,145.4,1.042,3.0,STRENX 700MC,3,878.16,76204.14,13.673797775291474
B,Strebe re au,Eigenfertigungsteil,6.61,593.5,145.5,1.215,3.0,STRENX 700MC,3,878.16,86354.25,14.069950234064915
B,Strebe vo,Eigenfertigungsteil,2.99,357.1,119.8,0.534,3.0,S355MC,1,710.07,42780.58,12.48229921146464
B,Strebe hi,Eigenfertigungsteil,1.15,153.5,123.0,0.251,3.0,S355MC,0,174.27,18880.5,13.294139456052541
B,Strebe mi,Eigenfertigungsteil,3.38,382.0,124.0,0.71,3.0,S355MC,2,630.64,47368.0,14.989022124641107
B,Strebe li au,Eigenfertigungsteil,6.61,593.5,145.5,1.215,3.0,STRENX 700MC,3,878.16,86354.25,14.069950234064915
B,Strebe li in,Eigenfertigungsteil,6.84,614.2,160.9,1.353,3.0,STRENX 700MC,1,851.3886,98824.78000000001,13.690898173514778
B,Strebe re,Eigenfertigungsteil,6.39,524.1,145.4,1.042,3.0,STRENX 700MC,3,878.16,76204.14,13.673797775291474
B,Strebe mi,Eigenfertigungsteil,3.38,382.0,124.0,0.71,3.0,S355MC,2,630.64,47368.0,14.989022124641107
B,Deckel li un,Eigenfertigungsteil,2.92,173.9,122.5,0.427,4.0,S700MC,1,381.23,21302.75,20.044360469892386
B,Verstärkung,Eigenfertigungsteil,2.56,350.0,89.0,0.946,5.0,S355MC,0,251.2,31150.0,30.369181380417334
B,Verstärkung,Eigenfertigungsteil,0.24,58.0,58.0,0.04,4.0,S355MC,0,0.0,3364.0,11.890606420927467
B,Platte,Eigenfertigungsteil,3.12,167.5,163.1,0.802,8.0,S355MC,0,213.52,27319.25,29.356589218225245
B,Verstärkung,Eigenfertigungsteil,1.19,180.0,82.0,0.485,5.0,S355MC,0,39.0,14760.0,32.859078590785906
B,Abdeckblech,Eigenfertigungsteil,6.29,791.0,175.9,3.214,3.0,S355MC,1,0.0,139136.9,23.099551592711926
B,Winkelblech,Eigenfertigungsteil,2.57,207.8,51.0,0.475,10.0,S355MC,1,47.1,10597.800000000001,44.82062314820056
B,Platte,Eigenfertigungsteil,2.39,148.8,186.8,0.701,6.0,S355MC,0,229.22,27795.840000000004,25.21960120651147
B,Platte,Eigenfertigungsteil,9.83,266.0,245.1,3.265,12.0,S355MC,0,508.08,65196.6,50.07929861373139
B,Verstärkung,Eigenfertigungsteil,1.87,161.0,162.1,0.582,3.0,S355MC,1,39.0,26098.1,22.300473980864506
B,Endblech,Eigenfertigungsteil,5.31,420.0,211.4,1.954,6.0,S355MC,0,292.098,88788.0,22.007478488083976
B,Platte,Eigenfertigungsteil,2.14,187.0,160.8,0.716,6.0,S355MC,0,138.788,30069.600000000002,23.81142416260941
B,Rückwand re,Eigenfertigungsteil,24.21,987.3,687.0,14.264,3.0,S355MC,3,407.0,678275.1,21.02981518855697
B,Rückwand li,Eigenfertigungsteil,24.63,985.2,687.0,11.934,3.0,S355MC,3,621.0,676832.4,17.63213463185273
B,Lagerblech re,Eigenfertigungsteil,7.44,624.2,180.2,2.265,4.0,S355MC,3,424.92,112480.84,20.136762847788123
B,Lagerblech li,Eigenfertigungsteil,7.44,624.2,180.2,2.265,4.0,S355MC,3,424.92,112480.84,20.136762847788123
B,Verstärkung,Eigenfertigungsteil,0.95,116.6,78.0,0.214,6.0,S355MC,0,64.37,9094.8,23.52992919030655
B,Verstärkung,Eigenfertigungsteil,2.0,250.6,217.0,0.354,2.0,DC01-A,3,361.1,54380.2,6.509722288627111
B,Träger,Eigenfertigungsteil,25.98,747.9,320.8,7.399,15.0,S355MC,0,406.04,239926.32,30.83863412734376
B,Bodenblech li,Eigenfertigungsteil,103.93,2403.0,739.2,42.0,3.0,S355MC,5,1796.08,1776297.6,23.644686566034878
B,Träger,Eigenfertigungsteil,9.78,518.4,124.4,2.612,15.0,S355MC,0,0.0,64488.96,40.503056647215274
B,Platte li,Eigenfertigungsteil,13.45,641.7,218.7,3.958,8.0,S355MC,2,508.2,140339.79,28.202977929495262
B,Träger li,Eigenfertigungsteil,22.6,1665.5,173.5,9.034,4.0,S355MC,2,1516.92,288964.25,31.263382927126806
B,Konsole,Eigenfertigungsteil,7.73,276.0,185.0,3.047,12.0,S355MC,0,188.4,51060.0,59.67489228358794
B,Platte,Eigenfertigungsteil,5.34,281.0,98.0,2.141,12.0,S355MC,0,125.6,27538.0,77.7471130801075
B,Verstärkung,Eigenfertigungsteil,2.56,296.8,134.1,1.084,4.0,S355MC,1,0.0,39800.88,27.235578710822477
B,Abdeckung,Eigenfertigungsteil,2.51,251.3,64.8,0.5,5.0,S355MC,3,0.0,16284.24,30.70453395430183
B,Auflage li,Eigenfertigungsteil,5.97,463.5,188.3,4.766,5.0,S355MC,4,245.84,87277.05,54.60771187843769
